orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,is_planet
3.179267286,0.0002009,0.012917,,,41.0,1.0246,1.0
3.75574267,0.00041739999999999995,0.018377,,,27.9,2.2911,1.0
7.44042933,0.0005472999999999999,0.028601,,,34.0,2.991,0.0
2.44199803,0.0002517,0.016528,,,27.2,2.759,0.0
28.5742692,0.0008248999999999999,0.026109,,,97.1,4.9427,1.0
7.09712124,0.0003695,0.017457,,,18.3,2.1059,1.0
2.6827683,7.98e-05,0.008932,,,26.7,2.957,0.0
10.42360821,0.0008782999999999999,0.026364,,,18.7,5.404,0.0
119.40817159,0.018563299999999998,0.170803,,,508.4,9.3537,0.0
419.97507836,0.0002751,0.016067,,,5.9,12.1687,0.0
1.171536413,0.0011327,0.043929,,,67.0,1.5878,0.0
5.188563677,0.0003587,0.017039,,,56.4,2.3683,1.0
0.973547911,0.00043569999999999997,0.122228,,,38.7,2.2858,0.0
3.053563251,0.0005084,0.231182,,,50.4,3.2551,0.0
43.84439721,0.0006152,0.025934,,,83.7,6.802,1.0
38.3775486,0.0007242,0.024901,,,34.7,5.588,1.0
7.442652004,0.0244462,0.143936,,,835.6,2.3078,0.0
16.38489988,0.0011270999999999998,0.029758,,,28.9,3.0249,1.0
7.8774163,0.0013061,0.03209,,,38.7,2.0805,1.0
36.4454001,0.0011223,0.029681,,,21.7,4.007,1.0
3.728732147,0.0052265,0.068178,,,345.2,2.683,1.0
3.166465862,0.0043571999999999994,0.348902,,,122.1,2.9381,0.0
10.35533116,0.0007506,0.024674,,,49.2,3.1775,1.0
10.526294577,0.009768,0.095143,,,482.3,2.5211,1.0
4.583520948,0.0038121,0.056287,,,99.5,2.7055,1.0
3.76181843,0.0005106,0.025656,,,35.9,3.5176,1.0
8.20396958,0.0010244000000000002,0.033372,,,54.4,2.9667,1.0
4.082274889,0.017859200000000002,0.121652,,,1669.1,3.23015,1.0
37.601661282,0.0591301,0.227443,,,1667.3,8.30604,0.0
3.314947362,0.0013982,0.038195,,,123.5,1.8007,1.0
6.71969089,0.0009697000000000001,0.046245,,,45.4,3.0231,0.0
39.6431552,0.0156638,0.111685,,,690.3,6.5292,1.0
10.38122447,0.0008015,0.025572,,,41.9,2.715,1.0
7.641567589,0.0022697,0.042627,,,437.5,3.41018,1.0
24.5709023,0.0007642,0.033128,,,26.3,3.587,1.0
0.817026268,0.0011455,0.030636,,,121.1,2.0799,0.0
12.06222962,0.0003002,0.015945,,,32.4,2.0584,1.0
9.93146307,0.00039860000000000004,0.018094,,,26.2,5.678,1.0
6.61836309,0.0005491000000000001,0.0211,,,31.5,3.6813,1.0
11.47609015,0.0001823,0.013423,,,27.7,5.046,1.0
25.2630467,0.0001255,0.011085,,,14.3,6.22,1.0
0.677374687,7.670000000000001e-05,0.007964,,,38.7,1.8361,1.0
10.43547031,0.0002102,0.013143,,,36.7,3.4167,1.0
7.41084314,0.0001241,0.010073,,,25.6,3.245,1.0
5.24970432,6.19e-05,0.007159,,,13.9,2.746,1.0
35.7353616,0.0007788,0.029539,,,58.4,8.491,1.0
12.30971679,0.000396,0.020619,,,45.9,6.74,1.0
98.353149,0.000423,0.022291,,,30.5,24.708,1.0
14.32407216,0.0020539,0.342462,,,58.0,4.6577,0.0
27.07237655,0.0005142,0.020659,,,44.0,6.9592,1.0
2.243380573,0.0008217000000000001,0.032248,,,38.9,1.1196,1.0
10.405998015,0.0144888,0.111248,,,745.2,6.5036,0.0
2.337437946,0.0009712000000000001,0.027998,,,82.4,1.9982,1.0
6.164876,5.5799999999999994e-05,0.007192,,,14.4,3.262,1.0
11.59822233,0.0028045,0.051287,,,71.0,2.5237,1.0
14.49645186,0.0006475,0.033377,,,25.7,4.016,1.0
56.0560754,0.001626,0.036134,,,27.4,4.685,1.0
41.408316686,0.022838900000000002,0.139516,,,907.8,5.0264,1.0
8.8111022,0.00040110000000000005,0.242511,,,76.8,5.0683,0.0
5.715425977,0.0009081,0.027348,,,59.4,2.5242,1.0
20.0261412,0.0004212,0.025305,,,10.7,1.611,1.0
51.42598578,0.0660677,0.236829,,,1843.8,16.9422,0.0
21.80451611,0.0011449000000000001,0.033653,,,49.9,3.4097,1.0
10.28194593,0.0011107,0.029849,,,55.0,3.4366,1.0
18.11993039,0.0015069,0.034825,,,60.7,4.2309,1.0
4.942783419,0.0111447,0.099444,,,2040.7,3.25346,1.0
3.78402867,0.0004261,0.020134,,,25.6,1.9012,1.0
5.15448142,0.0006975,0.030415,,,48.1,3.228,1.0
21.85362905,0.0003556,0.018296,,,23.0,3.439,1.0
13.0607936,0.0002366,0.015111,,,19.4,3.215,1.0
86.723653,0.000241,0.014997,,,9.4,4.852,0.0
25.9518461,0.0010585,0.256824,,,65.8,14.581,0.0
14.85890852,0.003269,0.05159,,,456.8,3.5252,1.0
25.9518536,0.0020179,0.30359,,,79.4,14.755,0.0
107.7214092,0.0013962,0.033622,,,30.5,8.042,1.0
1.09206833,0.0002192,0.013798,,,45.5,1.8596,0.0
4.176254191,0.0013601,0.036246,,,249.7,3.6716,1.0
10.12805158,0.0004774,0.02174,,,38.0,3.517,1.0
1.613001111,0.0001041,0.009463,,,19.3,2.394,0.0
3.770551475,0.01244,0.102677,,,100.8,3.8077,1.0
4.722254104,0.08267,0.27118,,,314.1,3.451,0.0
0.635069939,0.0331173,0.499997,,,578.6,2.07171,0.0
0.933746515,0.0029365999999999997,0.326591,,,549.5,6.6522,0.0
1.872421727,0.0030189,0.062711,,,179.0,1.5261,0.0
2.1395563,0.0002661,0.014957,,,48.9,2.0678,1.0
11.776132317,0.0014307999999999999,0.035355,,,163.5,2.8971,1.0
4.807103254,0.0004505,0.025102,,,32.9,0.9393,1.0
21.4054422,0.00040930000000000003,0.024433,,,60.9,11.721,1.0
10.5007712,0.0001834,0.011923,,,45.3,14.522,1.0
3.125814002,0.0002388,0.014604,,,32.0,1.7895,0.0
6.575315881,0.0027933000000000003,0.049152,,,221.1,4.3084,1.0
7.275040844,0.003001,0.051358,,,312.1,7.5377,1.0
19.27153892,0.0012198,0.031585,,,37.1,2.7594,1.0
