kepid,is_planet,orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,mission,pl_name
10666592,1.0,2.204735417,0.0066746999999999996,0.075522,,,5945.9,3.88864,kepler,Kepler-2 b
11913073,0.0,3.747838198,0.000616,0.151387,,,138.2,5.0642,kepler,
10984090,1.0,3.709214104,0.0001311,0.010424,,,50.6,2.6302,kepler,Kepler-466 c
10265898,1.0,1.260258822,0.0011307,0.034238,,,128.2,1.8594,kepler,Kepler-656 b
10265898,,3.29534567,0.0001419,0.011781,,,10.4,1.902,kepler,
10265898,1.0,5.25449393,0.000169,0.013572,,,12.6,3.078,kepler,Kepler-656 c
10272442,,70.2780911,0.0007816,0.025584,,,14.9,2.466,kepler,
10287242,,22.34213536,0.0022644,0.067166,,,51.9,6.461,kepler,
6721123,0.0,7.36178958,0.0002337,0.183387,,,47.7,5.022,kepler,
10340423,1.0,18.79418506,0.001529,0.035431,,,40.2,3.2906,kepler,Kepler-225 c
10340423,1.0,6.73893544,0.0006012999999999999,0.021833,,,24.2,2.813,kepler,Kepler-225 b
10345478,0.0,14.49839316,0.0032711,0.06429,,,125.6,3.7343,kepler,
10358759,1.0,10.3392408,0.0011845999999999998,0.031329,,,51.4,3.075,kepler,Kepler-29 b
10464078,0.0,19.40393776,0.0089187,0.096729,,,214.7,12.2155,kepler,
9579641,1.0,5.412203927,0.0006016,0.024775,,,166.7,2.9472,kepler,Kepler-105 b
10480982,0.0,19.221388942,0.074284,0.476633,,,2317.0,4.79843,kepler,
10480982,0.0,2.03746414,0.0001388,0.010807,,,14.1,2.895,kepler,
10485250,0.0,16.46983774,0.0104789,0.092509,,,303.4,9.4378,kepler,
10526549,1.0,9.27358173,0.0012883,0.032563,,,87.2,3.2875,kepler,Kepler-660 b
10583066,1.0,6.02930329,0.0019127,0.038838,,,65.4,1.5821,kepler,Kepler-661 b
9579641,1.0,7.12594387,0.00019240000000000001,0.01512,,,47.1,3.0014,kepler,Kepler-105 c
11152159,0.0,2.701287801,0.0008604,0.06584,,,48.3,3.3827,kepler,
11153539,1.0,4.49876511,0.00046,0.019817,,,29.5,3.7362,kepler,Kepler-666 b
8395660,1.0,13.57078281,0.0005117,0.023908,,,88.4,3.3539,kepler,Kepler-106 c
11242721,0.0,19.651209505,0.011766299999999999,0.106953,,,513.4,5.2514,kepler,
11304958,1.0,41.43958662,0.0027930999999999997,0.048175,,,141.1,10.5989,kepler,Kepler-667 b
11391957,1.0,8.35389523,0.0010416,0.029305,,,43.4,2.2514,kepler,Kepler-668 b
11403044,1.0,4.125543472,0.0014873,0.036796,,,128.6,3.1744,kepler,Kepler-669 b
5792202,1.0,15.33528675,0.0030814,0.056,,,86.6,3.897,kepler,Kepler-27 b
5792202,1.0,31.33046135,0.0050738,0.072904,,,117.2,5.176,kepler,Kepler-27 c
9471974,1.0,190.3200468,0.0011417,0.034654,,,139.3,15.284,kepler,Kepler-108 c
5792202,1.0,6.54626149,0.0006559,0.024555,,,24.8,2.75,kepler,Kepler-27 d
5792202,0.0,269.306232,0.001708,0.269007,,,18.1,14.931,kepler,
5792202,0.0,499.47338,0.001662,0.041532,,,15.7,12.248,kepler,
5794379,1.0,12.71809866,0.0011494,0.030871,,,52.7,3.0957,kepler,Kepler-241 b
8226994,1.0,4.14810719,0.00017519999999999998,0.011755,,,12.9,2.535,kepler,Kepler-250 b
8247638,1.0,16.51410989,0.0009735,0.028718,,,55.9,4.1575,kepler,Kepler-251 c
5897826,,0.875197345,0.0,0.003712,,,0.0,0.052,kepler,
8247638,1.0,30.1329298,0.0010157999999999999,0.03322,,,44.8,5.172,kepler,Kepler-251 d
8247638,1.0,4.79090809,0.00025130000000000004,0.014349,,,21.2,2.603,kepler,Kepler-251 b
8247638,1.0,99.6415962,0.0009525,0.027879,,,22.7,4.448,kepler,Kepler-251 e
8255887,1.0,4.708326451,0.0079127,0.080242,,,633.4,3.16114,kepler,Kepler-720 b
3632418,1.0,2.785821236,6.890000000000001e-05,0.008919,,,53.6,3.5599,kepler,Kepler-21 b
3441784,0.0,52.56901867,0.0269,0.418905,,,184.3,6.7507,kepler,
11192141,,1.353771892,0.0013491,0.250431,,,76.7,7.012,kepler,
11494130,0.0,18.95491633,0.0008675,0.258011,,,249.3,24.249,kepler,
7601633,0.0,15.663886949,0.0051443999999999995,0.112808,,,175.9,2.4775,kepler,
5648449,0.0,4.348866254,0.0006256,0.219949,,,56.3,3.2797,kepler,
12167361,0.0,47.93094546,0.0021444000000000003,0.321419,,,221.1,2.6897,kepler,
7626506,1.0,8.408878137,0.0007989,0.025693,,,147.2,3.4967,kepler,Kepler-112 b
8386035,0.0,1.63484631,,,,,,6.11,kepler,
8332986,0.0,302.38867822,0.04132,0.435247,,,294.8,3.1229,kepler,
8415745,0.0,31.82814583,0.0044568,0.356333,,,78.7,2.917,kepler,
8378634,0.0,3.629442796,0.0004266,0.024717,,,76.4,5.63,kepler,
8397675,,0.553261874,0.0010381,0.283769,,,202.2,0.8875,kepler,
8346392,1.0,5.72812616,0.0006434,0.023129,,,20.8,2.0295,kepler,Kepler-777 b
6620003,0.0,1.714274727,0.0284601,0.427965,,,987.2,2.06728,kepler,
6621116,0.0,137.75960504,0.083298,0.31234,,,885.9,9.1713,kepler,
6629332,0.0,2.155278342,0.020739,0.18861,,,142.7,2.1064,kepler,
6387450,0.0,3.661326482,0.017846,0.138476,,,424.6,2.5714,kepler,
6470149,,165.739861,0.0073434,0.077087,,,527.8,24.9393,kepler,
6462874,0.0,22.34293693,0.0026911,0.046145,,,35.3,7.0813,kepler,
11414511,1.0,2.816504904,0.0168137,0.117059,,,1406.8,2.50587,kepler,Kepler-670 b
11442465,0.0,33.93373447,0.008503700000000001,0.095386,,,236.1,14.561,kepler,
11460018,1.0,4.280963604,0.0007507999999999999,0.025377,,,61.8,2.875,kepler,Kepler-671 b
11463211,0.0,1.50635409,0.0022116999999999996,0.049899,,,181.1,1.5155,kepler,
11465813,0.0,670.645531,0.0180906,0.131705,,,642.7,53.412,kepler,
11493732,0.0,61.2563628,0.0051233,0.334628,,,85.3,7.633,kepler,
5794379,1.0,36.06588163,0.0015638,0.035281,,,51.7,4.3246,kepler,Kepler-241 c
5881688,1.0,4.190425659,0.0028774,0.050076,,,240.6,2.8589,kepler,Kepler-696 b
6022556,1.0,3.709870784,0.0020203,0.040686,,,116.1,3.0694,kepler,Kepler-697 b
6032497,1.0,16.3297527,0.0011875,0.034822,,,74.6,6.271,kepler,Kepler-698 b
6061119,1.0,27.807566216,0.0253911,0.161479,,,748.1,4.21587,kepler,Kepler-699 b
6191521,1.0,80.8723469,0.0036046,0.056129,,,160.9,11.195,kepler,Kepler-700 b
8256049,0.0,16.37198661,0.0041476,8.358793,,,54.5,3.8449,kepler,
8414716,1.0,5.392026903,0.0011514000000000001,0.030649,,,77.4,2.9804,kepler,Kepler-721 b
8490993,1.0,4.093578461,0.0005386,0.026123,,,36.4,2.5833,kepler,Kepler-722 b
8490993,1.0,105.145959,0.0006854,0.031397,,,15.4,8.593,kepler,Kepler-722 c
8505670,1.0,10.8484518,0.0016756,0.036303,,,64.5,2.9993,kepler,Kepler-252 c
8505670,1.0,6.66833241,0.0003623,0.018246,,,14.2,1.915,kepler,Kepler-252 b
8359498,1.0,3.578780566,0.0113822,0.096067,,,1838.4,2.91089,kepler,Kepler-77 b
1433962,0.0,1.592633181,0.0006331,0.022007,,,66.9,5.5605,kepler,
11607193,0.0,5.177577252,0.0013254,0.376402,,,23.6,2.4777,kepler,
1161345,1.0,4.28746668,0.0007901000000000001,0.025717,,,19.4,1.5693,kepler,Kepler-1973 b
10227501,0.0,2.002779769,0.0002605,0.014608,,,22.2,2.231,kepler,
2854698,1.0,8.18739443,0.0005176,0.020743,,,38.4,3.0472,kepler,Kepler-260 b
2854698,1.0,76.0498163,0.0004459,0.018858,,,17.4,7.158,kepler,Kepler-260 c
7295235,1.0,3.179267286,0.0002009,0.012917,,,41.0,1.0246,kepler,Kepler-743 b
8288947,1.0,3.75574267,0.00041739999999999995,0.018377,,,27.9,2.2911,kepler,Kepler-778 b
8312852,0.0,7.44042933,0.0005472999999999999,0.028601,,,34.0,2.991,kepler,
8302450,0.0,2.44199803,0.0002517,0.016528,,,27.2,2.759,kepler,
8313667,,30.5872153,0.0004648,0.01965,,,33.1,5.3698,kepler,
7626506,1.0,28.5742692,0.0008248999999999999,0.026109,,,97.1,4.9427,kepler,Kepler-112 c
8351704,1.0,7.09712124,0.0003695,0.017457,,,18.3,2.1059,kepler,Kepler-779 b
8299955,0.0,2.6827683,7.98e-05,0.008932,,,26.7,2.957,kepler,
6462874,0.0,10.42360821,0.0008782999999999999,0.026364,,,18.7,5.404,kepler,
